Week,Book,Assignment
1,"![Introduction to Computational Science](img/shiflet_cover.gif)","Read all of chapters 1.1 and 1.2"
2,"[![Automate the Boring Stuff with Python by Al Sweigart](img/automate_cover_medium.png)](https://automatetheboringstuff.com/)","**Supplement**<br>Chapters 1 through 8 cover the material in the **Python fundamentals** classes in more depth and with a focus on helping beginners."
2,"[![Think Python by Allen Downey](img/think_python_medium.png)](http://greenteapress.com/thinkpython/html/index.html)","**Supplement**<br>Chapters 2, 3, 5, 7, 8, 10, 11, 12, and 14 cover the material in the **Python fundamentals** classes. This book is a reference manual for Python, and covers things at a more advanced level."
3,"[An introduction to Numpy and Scipy by M. Scott Shell](https://engineering.ucsb.edu/~shell/che210d/numpy.pdf)","Read from the beginning up until the end of the Statistics section on page 19"
4,"![Introduction to Computational Science](img/shiflet_cover.gif)","Read all of chapters 2.2 and 2.3"
5,"![Introduction to Computational Science](img/shiflet_cover.gif)","Read all of chapter 2.5"
6,"![Introduction to Computational Science](img/shiflet_cover.gif)","Read all of chapter 3.2"
9,"![Introduction to Computational Science](img/shiflet_cover.gif)","Read all of chapters 8.2 and 8.3"
10,"![Introduction to Computational Science](img/shiflet_cover.gif)","Read all of chapter 9.2"
11,"![Introduction to Computational Science](img/shiflet_cover.gif)","Read all of chapters 9.3 and 9.5"
12,"![Introduction to Computational Science](img/shiflet_cover.gif)","Read all of chapter 10.2"
13,"![Introduction to Computational Science](img/shiflet_cover.gif)","Read all of chapter 10.3"
