theta,energy,label
0,0,sim1
7.49988,-0.0462593,sim1
15.00012,-0.3047675,sim1
22.5,-0.391844,sim1
29.99988,-1.4095496,sim1
37.500119999999995,-1.5864238,sim1
45,-1.9945945,sim1
52.49988,-2.887128,sim1
60.00012,-4.185111,sim1
67.5,-5.1429517,sim1
74.99987999999999,-6.3919543,sim1
82.50012000000001,-7.0368641,sim1
90,-7.3144202,sim1
97.49987999999999,-6.4354925,sim1
105.00012000000001,-4.9715199,sim1
112.5,-2.4544668,sim1
119.99987999999999,0.2884407,sim1
127.50012000000001,2.789167,sim1
135,4.830021,sim1
142.49988,6.895365,sim1
150.00012,8.9334978,sim1
157.5,10.1607313,sim1
164.99988,11.7961356,sim1
172.50012,11.7090591,sim1
180,11.9349135,sim1
0,0,sim2
7.49988,-0.1224512,sim2
15.00012,-0.1904796,sim2
22.5,-0.4898049,sim2
29.99988,-0.8000147,sim2
37.500119999999995,-1.0394749,sim2
45,-1.1755317,sim2
52.49988,-1.6381254,sim2
60.00012,-1.8558163,sim2
67.5,-1.7197594,sim2
74.99987999999999,-1.4204342,sim2
82.50012000000001,-0.3564691,sim2
90,1.3306368,sim2
97.49987999999999,3.6272777,sim2
105.00012000000001,6.775635,sim2
112.5,11.0505435,sim2
119.99987999999999,16.3050619,sim2
127.50012000000001,21.4888309,sim2
135,25.9705461,sim2
142.49988,30.7189327,sim2
150.00012,34.8768323,sim2
157.5,37.6904895,sim2
164.99988,40.2374752,sim2
172.50012,41.1626622,sim2
180,41.5626696,sim2
